questionText,option1,option2,option3,option4,option5,correctOptions,correctOptionExplanation,points
"Real code from class-20:

public class PlayState implements IState {
    private static final PlayState singleton = new PlayState();
    private PlayState(){}
    public static PlayState getInstance(){ return singleton; }
    ...
    public void pause(MediaPlayer player) {
        player.setState(PauseState.getInstance());
    }
}

PlayState.pause() takes a MediaPlayer player parameter and calls player.setState(...). Is this a composition relationship between PlayState and MediaPlayer? Why or why not, given PlayState never stores player as a field?","Yes — this is composition because MediaPlayer also holds an IState field, making the relationship mutual","This is inheritance, since PlayState implements IState and MediaPlayer also references IState","No — this is neither composition nor inheritance in the strict sense; player is a method parameter, used only for the duration of that one method call, not a stored field. True composition requires the referencing class to HOLD the other object as a field over time, not just receive it transiently as an argument","Yes — any time one class's method takes another class as a parameter, that's composition by definition",,3,"A crucial distinction: composition specifically means holding a reference as a field over time, not merely receiving one as a transient method parameter.",1
"Given the previous question's distinction — that composition specifically means HOLDING a reference as a field over time, not just receiving one as a parameter — look at Processor from the Adapter-pattern folder:

public class Processor {
    private IPayment ip;
    public Processor(IPayment ip) {
        this.ip = ip;
    }
    public void process() {
        ip.pay();
    }
}

Does Processor demonstrate true composition by this stricter definition?","No — since ip is passed in through the constructor, this is actually a parameter, not composition","Yes, but only because process() has no parameters of its own","No — composition requires the held type to be a concrete class, not an interface","Yes — ip is stored as a field (private IPayment ip) via the constructor, persisting beyond any single method call, which is exactly what distinguishes true composition from merely passing a parameter into one method",,4,"The constructor parameter is just how the field gets its initial value — what makes it composition is that the value is then stored as a field, not that it arrived via a parameter.",1
"A teammate refactors EmailSubscriber (currently extends User) into using composition instead — holding a User user field rather than extending it:

public class EmailSubscriber implements ISubscriber {
    private User user;
    private String email;
    ...
    public void notifyUser(String message) {
        System.out.println(""Email sending started to "" + email);
        user.notifyUser(message);
        System.out.println(""Email sending completed"");
    }
}

Functionally, does this produce the same behavior as the original extends User version?",Yes — user.notifyUser(message) achieves the same effect as super.notifyUser(message) did in the inheritance version; the composition version just calls the held User object's method explicitly instead of relying on the implicit parent-method-call mechanism,No — composition cannot be used to replace inheritance in any circumstance where super was originally used,No — implements ISubscriber is required to also extend User for this to compile,"Yes, but only if User is changed to be an interface first",,1,Composition can replicate what super-calls achieve under inheritance — the held object's method is called explicitly instead of implicitly.,1
"Given the previous rewrite works, what's the actual tradeoff of switching EmailSubscriber from inheritance (extends User) to composition (private User user)?",Composition requires User to be declared abstract first,"With composition, EmailSubscriber no longer automatically inherits ALL of User's public methods and fields for free — anything EmailSubscriber wants to expose from User (like getName()) now has to be manually written as a delegating method (e.g. public String getName() { return user.getName(); }), whereas inheritance gave access to User's public API automatically just by extending it",Composition would make EmailSubscriber unable to implement ISubscriber at all,There is no tradeoff whatsoever — both versions behave identically in every respect,,2,"This is the central practical cost of composition versus inheritance: nothing is automatically exposed, everything has to be deliberately delegated.",1
"This tradeoff has a name worth knowing: with inheritance, a subclass inherits its parent's ENTIRE public interface automatically, whether it wants all of it or not. With composition, the containing class only exposes exactly what it chooses to manually delegate. Given RewardDecorator only needs IPayment's single pay() method (not a hypothetical User's ten methods), why might this ""must manually delegate everything you want to expose"" property of composition actually be a GOOD thing here rather than a downside?",It's never a good thing — composition should be avoided whenever inheritance is available,It only matters if the parent class has private fields,"It prevents RewardDecorator from accidentally inheriting and exposing methods it has no business exposing — since IPayment only has one method (pay()) anyway, there's nothing extra to accidentally leak, but in general, composition lets a class expose a deliberately narrow, curated interface instead of automatically inheriting everything a parent class happens to have, public or not",This property is unique to IPayment and doesn't generalize to other interfaces,,3,"Deliberate, narrow exposure is a genuine advantage of composition — it prevents unintentionally leaking a large inherited API surface.",1
"Trace through a genuinely tricky case. SMSSubscriber extends User (real code). Suppose User gets a new method added: public void logActivity() { System.out.println(""logging...""); }. Does SMSSubscriber need ANY code changes to gain this new method?","No, but only if SMSSubscriber is recompiled with a special flag",Yes — SMSSubscriber would need @Override added even for methods it doesn't override,Yes — every subclass must explicitly redeclare every new parent method to use it,"No — since SMSSubscriber inherits from User via extends, it automatically gains logActivity() for free the moment it's added to User, with zero changes needed in SMSSubscriber.java itself",,4,Inheritance automatically propagates any new parent method to every subclass — no changes needed anywhere downstream.,1
"Now the composition equivalent: if EmailSubscriber held a private User user field (composition, as rewritten earlier) and User gained the same new logActivity() method, does EmailSubscriber automatically gain a callable logActivity() method of its own?",No — composition does NOT automatically expose the held object's methods; EmailSubscriber would need to manually add its own public void logActivity() { user.logActivity(); } delegating method before external callers could call emailSubscriber.logActivity() directly,"Yes, but only for methods marked public","No, and there is no way to expose it at all under composition",Yes — composition and inheritance both automatically expose all of the referenced/parent class's methods identically,,1,This is the direct contrast with inheritance's automatic propagation — composition requires an explicit delegating method for every capability you want exposed.,1
The previous two questions together reveal the central practical tradeoff between inheritance and composition. State it as one clean rule.,"Composition always requires more total lines of code than inheritance in every single case, with no exceptions","Inheritance automatically propagates ALL of a parent's public API to every subclass, including future additions — convenient, but means a subclass's public surface can silently grow without the subclass author doing anything; composition requires EVERY exposed method to be manually delegated, which is more code upfront but keeps a class's public surface exactly as small and deliberate as its author wants",Inheritance is strictly better whenever a parent class has more than 3 methods,Inheritance and composition propagate new methods identically; the only difference is syntax (extends vs a field),,2,This is the summary rule tying together the automatic-propagation-versus-deliberate-exposure tradeoff explored across the previous few questions.,2
"Real code from class-16/17 (Template Method):

public abstract class BeverageMaker {
    abstract void brew();
    abstract void addCondiments();
    void boilWater() { ... }
    void pourInACup() { ... }
    public void makeBeverage() {
        boilWater();
        brew();
        pourInACup();
        addCondiments();
    }
}

Template Method relies on inheritance (extends BeverageMaker) specifically, rather than composition. Given everything discussed about composition's flexibility (swappable at runtime, narrow exposed surface), why does Template Method deliberately choose inheritance here instead?",Inheritance was chosen purely because Java doesn't support composition for methods with no return value,Composition is impossible to use whenever abstract methods are involved,"Template Method's whole point is that makeBeverage()'s fixed sequence (boilWater, brew, pourInACup, addCondiments) is shared, unchangeable structure that EVERY beverage must follow — inheritance is the natural fit because subclasses aren't swapping in a different BeverageMaker at runtime, they're permanently specializing exactly two fixed steps (brew, addCondiments) while keeping the rest identical, which is precisely what ""is-a specialized version of"" (inheritance) captures, not ""has-a swappable behavior"" (composition)","Template Method could have used composition instead with zero behavioral difference, and the choice was arbitrary",,3,This is why Template Method and State choose differently: fixed permanent specialization fits inheritance; runtime-swappable behavior fits composition.,1
"Pull together MediaPlayer (composition: IState state swappable at runtime) and BeverageMaker (inheritance: fixed permanent specialization). State the general rule for choosing between the two, in a way that would help decide correctly on a brand-new problem neither has been discussed yet.",The choice between them has no practical consequence and can be made arbitrarily,Always default to inheritance since it requires less code to write initially,Always default to composition since inheritance is universally considered a mistake in every case,"Reach for inheritance when a set of variants share a fixed, permanent structure and only specialize a small, unchanging part of it once at construction (like Espresso always being an Espresso and always following the same beverage-making steps); reach for composition when the varying behavior needs to change dynamically over the object's lifetime, when multiple unrelated behaviors need to be combined in one object, or when you want to keep the containing class's exposed API deliberately narrow rather than inheriting an entire parent's public surface",,4,"This is the synthesis rule tying the whole quiz together: permanent, fixed specialization suits inheritance, while dynamic, swappable, or narrowly-exposed behavior suits composition.",3
